No,Key,Summary_Description,label,indicator
82,CASSANDRA-5996,"Remove leveled manifest json migration code - We should remove the json leveled manifest migration code from 2.1

this will require users to atleast start 2.0 before upgrading to 2.1 (manifest is migrated on startup).",ATD,obstech
83,CASSANDRA-5918,"Remove CQL2 entirely from Cassandra 3.0 - CQL2 is officially no longer worked on since 1.2. cqlsh no longer supports CQL2 as of Cassandra 2.0.

It's probably the time to deprecate CQL2 in 2.0 and to remove it entirely in 2.2 - there is nothing in CQL2 now that can't be done via CQL3 and two versions advance warning is plenty of time for those few still using CQL2 to switch to CQL3.",ATD,obstech
84,CASSANDRA-5606,remove some deprecations in use of SnakeYaml - new Yaml(new Loader(constructor)) is equivalent to new Yaml(constructor) now. remove the use of Yaml(Loader) constructor.,ATD,viomod
85,CASSANDRA-5331,"Remove ASSUME from cqlsh - Now that we have blobAsX and xAsBlob conversion functions for all the Cassandra types, ASSUME is no longer needed and can be removed.",ATD,viomod
86,LUCENE-7611,Make suggester module use LongValuesSource - This allows us to remove the suggester module's dependency on the queries module.,ATD,viomod
87,LUCENE-7610,"Migrate facets module from ValueSource to Double/LongValuesSource - Unfortunately this doesn't allow us to break the facets dependency on the queries module, because facets also uses TermsQuery - perhaps this should move to core as well?",ATD,viomod
88,CASSANDRA-4037,"Move CfDef and KsDef validation to CFMetaData and KSMetaData - Following CASSANDRA-3792, CQL don't need to use thrift CfDef and KsDef. However, those are still used in order to reuse ThriftValidation validation methods. We should move that validation to CFM and KSM and remove the use of those thrift structures by CQL.",ATD,viomod
89,CASSANDRA-3953,"Replace deprecated and removed CfDef and KsDef attributes in thrift spec - In a discussion on irc this morning around the ""interface backwards compatibility"" topic (as explained in CASSANDRA-3951), the opinion was expressed that it might not hurt to provide backwards compat for c* servers as well as clients.

This could be done by adding back all CfDef and KsDef attributes that were removed since thrift spec 19.0.0 (0.7.0-beta2). Namely:

* bool CfDef.preload_row_cache (only in 0.7.0 betas; probably not necessary)
* double CfDef.row_cache_size
* double CfDef.key_cache_size
* i32 CfDef.row_cache_save_period_in_seconds
* i32 CfDef.key_cache_save_period_in_seconds
* i32 CfDef.memtable_flush_after_mins
* i32 CfDef.memtable_throughput_in_mb
* double CfDef.memtable_operations_in_millions
* string CfDef.row_cache_provider
* i32 CfDef.row_cache_keys_to_save
* double CfDef.merge_shards_chance
* i32 KsDef.replication_factor

Obviously these attributes should not be expected to have any effect when used with the current version of Cassandra; they may be marked ""ignored"", ""unused"", or ""deprecated"" or whatever, as appropriate.

This should allow library software to be built against one thrift spec (the latest) and be then expected to work (keeping all necessary attributes available and usable) against any Cassandra version back to 0.7.0-beta2.

(To really achieve this goal 100%, we should reinstate the system_rename_column_family() and system_rename_keyspace() calls too, and just have them raise InvalidRequestException, but they never really worked anyway, so it's probably better to leave them out.)",ATD,viomod
90,CASSANDRA-3719,"Upgrade thrift to latest release version (0.9.x) - In Cassandra-3213 thrift was upgraded to thrift 0.7 and not the latest 0.8 release. This is due to THRIFT-1167 where the TNonblockingTransport in TNonblockingServer.FrameBuffer was moved into AbstractNonblockingServer.FrameBuffer and was changed from public to private. This causes the transport to not be available for SocketSessionManagementService as noted above. There is no short term workaround for this. 

I have everything ready for patching but with the above mentioned issue it will be impossible to use Thrift 0.8.0. The fix for this is committed (THRIFT-1464) and will be available in the next Thrift release 0.9. Adding this to keep track of and will update with patches for the current version of Thrift when pushing out the next release",ATD,obstech
91,LUCENE-7609,"Refactor expressions module to use DoubleValuesSource - With DoubleValuesSource in core, we can refactor the expressions module to use these instead of ValueSource, and remove the dependency of expressions on the queries module in master.",ATD,viomod
92,LUCENE-7546,"Rename uses of people.apache.org to home.apache.org - The people.apache.org server was replaced by a different server home.apache.org officially last year, and it appears to have completed sometime this year. DNS for both points to the same machine but we should reference home.apache.org now. *Unfortunately, some data was large enough that ASF Infra didn't automatically move it, leaving that up to the individuals to do. I think any data that hasn't been moved by now might be gone.* Here's a useful reference to this: EMPIREDB-234 The second part of that issue also informs us that RC artifacts don't belong on home.apache.org; there is https://dist.apache.org/repos/dist/dev/<project> for that. 6.3 was done the right way... yet I see references to using people.apache.org in the build for RCs.",ATD,viomod
93,CASSANDRA-2922,"Move SimpleAuthenticator and SimpleAuthority to examples/ - We've provided SimpleAuthenticator and SimpleAuthority, toy file-based authentication and authorization mechanisms, since CASSANDRA-547. These are NOT production ready (even non-experts can tell the encryption is a joke) but newcomers don't always realize this.

Let's move them to examples/ instead.",ATD,viomod
94,CASSANDRA-2805,"Clean up mbeans that return Internal Cassandra types - We need to clean up wherever we return internal cassandra objects over jmx. Namely CompactionInfo objects as well as Tokens. There may be a few other examples.

This is bad for two reasons

1. You have to load the cassandra jar when querying these mbeans, which sucks.
2. Stuff breaks between versions when things are moved. For example, CASSANDRA-1610 moves the compaction related classes around. Any code querying those jmx mbeans in 0.8.0 is now broken in 0.8.2. (assuming those moves stay in the 0.8 branch)

For things like CompactionInfo we should just expose more mbean methods or serialize to something standard like json.

I'd like to target this for 0.8.2. Since we've already broken compatibility between 0.8.0 and 0.8.1, I'd say just fix this everywhere now.",ATD,viomod
95,LUCENE-7426,remove deprecated DataInput/Output map/string methods - These deprecated methods can be removed in master (7.x),ATD,viomod
96,CASSANDRA-2440,"Merge ColumnOrSuperColumn and Counter thrift structure to avoid most of the counter API call duplication - Having duplicate calls for all counter operation is ugly. Distinguishing a Column from a CounterColumn is a good idea, but I feel we went too far in making counters an API on its own. This ticket proposes to merge the Counter and ColumnOrSuperColumn thrift structure (while keeping CounterColumn and CounterSuperColumn) and to remove all the duplicate API calls.",ATD,viomod
97,CASSANDRA-2009,"Move relevant methods to ByteBufferUtil (and normalize on names) - A number of methods are in FBUtilities while they more naturally belong to
ByteBufferUtil. Moreover, their naming convention conflict with some of the
method already moved to ByteBufferUtil.",ATD,viomod
98,CASSANDRA-1767,"cli to/from string needs to move into AbstractType - currently CLI cannot use custom data types since it doesn't know how to turn user-input strings into binary data. need to add ""ByteBuffer fromString(String)"" to AbstractType and move the conversion code from CliClient there.",ATD,viomod
99,LUCENE-7418,"remove legacy numerics from join/ and queryparser/ - We have three modules with (temporary) dependency on backwards codecs: * join/ * queryparser/ * spatial-extras/ this patch handles the first two, as they are easy. spatial-extras is more complex as its legacy support is not clearly separated, so i'm not trying to address that here. For join/ we just remove deprecations. For queryparser/, same thing, except since solr exposes the xml queryparser, i moved the LegacyRangeQueryBuilder to solr and hooked it into its subclass of the parser.",ATD,viomod
100,LUCENE-7413,"move legacy numeric support to backwards module - This code is deprecated since 6.0, but still sits in master branch in core. I think we should move it to the backwards module as a step towards removing it.",ATD,viomod
101,CASSANDRA-1500,Consolidated identical code in CassandraDaemon.setup() into super class - There is identical code in the setup() methods of both avro and thrift CassandraDaemon classes. I moved that code into the AbstractCassandraDaemon class for cleanliness.,ATD,viomod
102,LUCENE-7367,"Upgrade TestQualityRun to bm25 - This test runs with the classic similarity, we should upgrade it to bm25.",ATD,viomod
103,LUCENE-7347,"Remove queryNorm and coords - These two features are specific to TF-IDF and introduce some complexity (see eg. handling of coords in BooleanWeight) and bugs/corner-cases (see eg. how taking the query norm into account causes scoring challenges on LUCENE-7337). Since we made BM25 the default in 6.0, I propose that we remove these TF-IDF-specific features in 7.0.",ATD,viomod
104,CASSANDRA-993,"r/m obsolete contrib/cassandra_browser - This was introduced in 0.5 (CASSANDRA-457) and never updated. It was added early enough in 0.5 that I'm not sure it even works against that release.

Given the code rot and the concerns the reviewers had originally that were planned to be addressed in future patches but were not, I vote for removing it. (Of course it will still be available in svn history should someone wish to resurrect it.)

No patch provided since this will just be a ""svn remove"" command.",ATD,viomod
105,CASSANDRA-965,"remove deprecated get_string*_property() thrift methods - The get_string_property() and get_string_list_property() methods were deprecated in 0.6, they can now be removed in preparation for 0.7.",ATD,obstech
106,LUCENE-7328,Remove LegacyNumericEncoding from GeoPointField - 6.0 deprecated legacy {{NumericEncoding}} in {{GeoPointField}} this issue completely removes the encoding for 7.0.,ATD,viomod
107,CASSANDRA-859,"update cassandra-cli for mandatory login() - With the completion of CASSANDRA-714, the cli will need to be updated accordingly.

* Either the --keyspace command argument (or something equivalent entered interactively after startup), will need to be made required.
* The record specifier should be changed from `keyspace.column_family['row']' to `column_family['row']'.
* The keyspace name should be displayed in the prompt, instead of the fixed string ""cassandra"" as a reminder of the current working keyspace.

Additionally, a get_string_property(""cluster name"") was recently added to force connection errors to occur early (the name is also displayed in the banner). Since this changeset will make a login() call mandatory, the get_string_property() call will be unneeded and can be removed.",ATD,obstech
108,CASSANDRA-591,"remove unused setters from DatabaseDescriptor - setLogFileLocation() and setTableNames() are unused, make no sense, and should be removed.",ATD,viomod
109,CASSANDRA-380,"Remove Groovy binary until we need to use it - The Groovy JAR has been kept around for eventual callout support. However, no one is actively working on this task, and it is not slated for 0.4 (or 0.5 as far as I can tell). We should remove the JAR until it is needed, particularly since the Groovy project is advancing much more quickly (the current JAR is severely outdated). Also, it adds 2.2MB to a checkout.",ATD,obstech
110,CASSANDRA-291,"Zookeeper is never actually used, outdated jar and references should be removed until useful - We don't actually use Zookeeper for anything. While I support its use in the future, we are keeping an outdated jar in the repository and have some code that references it but doesn't actually use it. This should be removed; patch to follow.",ATD,viomod
111,CASSANDRA-290,"Superfluous .jar files should be removed - There appear to be quite a few .jar files in lib/ which aren't used:

commons-javaflow-1.0-SNAPSHOT.jar
commons-logging-1.0.4.jar
commons-math-1.1.jar
lucene-core-2.2.0.jar
stringtemplate-3.0.jar
zookeeper-3.0.0.jar

The unit and system tests run fine after removing all these files, and I saw no mention of them when I grepped src, so I believe they should be safe to remove.",ATD,viomod
112,CASSANDRA-113,Remove unused variables - There are a number of variables sprinkled around in the code that are never read from. We should remove these.,ATD,viomod
113,LUCENE-7265,"Pull change id related code out of addVersion.py, since it's no longer used - LUCENE-6938 led to the remove of code that merges the downstream changes for addition of a new version. That seems like an accidental removal and we should add it back with a few changes so that it now uses git instead of svn.",ATD,viomod
114,LUCENE-7203,Improve O(N^2) GeoPolygon intersection computation performance - Computing shape intersections with a polygon has an O(N^2) loop in it. This can be removed if two bounds are discovered ahead of time to use instead.,ATD,viomod
115,LUCENE-7167,Change select Geo3d classes to package private - Geo3D has led to a lot of consternation because it has a relatively open API. The task is to either drastically restrict it or remove the package entirely.,ATD,viomod
116,LUCENE-7163,"Refactor GeoRect and Polygon to core - {{o.a.l.spatial.util.GeoRect}} and {{o.a.l.spatial.util.Polygon}} are reusable classes across multiple lucene modules. It makes sense for them to be moved to the {{o.a.l.geo}} package in the core module so they're exposed across multiple modules. {{GeoRect}} should also be refactored to something more straightforward, like {{Rectangle}}",ATD,viomod
117,CASSANDRA-11295,"Make custom filtering more extensible via custom classes - At the moment, the implementation of {{RowFilter.CustomExpression}} is tightly bound to the syntax designed to support non-CQL search syntax for custom 2i implementations. It might be interesting to decouple the two things by making the custom expression implementation and serialization a bit more pluggable. This would allow users to add their own custom expression implementations to experiment with custom filtering strategies without having to patch the C* source. As a minimally invasive first step, custom expressions could be added programmatically via {{QueryHandler}}. Further down the line, if this proves useful and we can figure out some reasonable syntax we could think about adding the capability in CQL in a separate ticket.",ATD,viomod
118,CASSANDRA-3330,"Improve CompactionTask extensibility - CompactionTask is still fairly coupled to SizeTieredCompaction, including some ugly casting.",ATD,viomod
119,CASSANDRA-1265,"make getBuckets deterministic - CompactionManager.getBuckets is nondeterministic as explained in the parent issue.

This can be fixed either by sorting in getBuckets, or requiring that the iterable passed be sorted already. Either is fine.

We also need to add some unit tests to CompactionManagerTest for getBuckets. We need to decouple getBuckets a little to do this sanely; rather than examining sstable length directly or introducing some extra interface, let's declare getBuckets as

 static Set<List<T>> getBuckets(Iterable<Pair<T, Integer>> files, long min)

where the integer in the pair is the file size. Then you can write tests against Strings instead of SSTableReaders.",ATD,viomod
120,CAMEL-21434,"camel-kamelet-main: decouple from Camel JBang - There are a lot of references for Camel JBang in the Camel Kamelet Main module. This makes it harder to reuse this module for other tools and ideas that could benefit from the classes on that module. 

We should decouple Camel JBang references from it.",ATD,viomod
121,CAMEL-20843,"camel-test: extract interface and common parts from CamelTestSupport - Over the course of years, multiple additions and changes to the CamelTestSupport class have made it extremely fragile, tightly coupled and hard to maintain.

Among the problems of this class:
 * Mixing up being responsibilities
 ** It is both a JUnit 5 extension and *also* a base test class
 *** Which leads to multiple ways to setup and tear down the test (either via extension methods or via setup/tearDown methods + the setup/tearDown from the tests itself)
 ** In addition to being also a JUnit 5 extension and a base test class ... it is ALSO a BreakPoint.
 ** And a utility class that provides helper methods (i.e.: providing utility methods for useful operations - send/receive requests)
 ** And also a test configuration class in itself (i.e.: allowing tests to configure themselves by overriding methods)
 * Over-complexity
 ** the code tries to handle different lifecycle supported by JUnitÂ 
 ** along with concurrency
 ** as well as setting up and managing the CamelContext
 * Mix up assertions with assumptions
 * Little control about the initialization order of the extension (itself ?) via JUnit's Order annotation
 * Three ways to manage JMX: useJMX, enableJMX, disableJMX.

Â 

To make things even worse, the wide open interfaces provided by this [class have leaked to other projects|https://github.com/apache/camel-quarkus/blob/main/test-framework/junit5/src/main/java/org/apache/camel/quarkus/test/CamelQuarkusTestSupport.java] (such as Camel Quarkus).

Â 

The work on this ticket is related to extracting the common interface and code from CamelTestSupport so that other sub-projects can specialize the safe parts of it.

Â 

Â 

Â 

Â",ATD,viomod
122,CAMEL-20838,"camel-test: block usages of internal APIs. - Over the course of years, multiple additions and changes to the CamelTestSupport class have made it extremely fragile, tightly coupled and hard to maintain.

Among the problems of this class:
 * Mixing up being responsibilities
 ** It is both a JUnit 5 extension and *also* a base test class
 *** Which leads to multiple ways to setup and tear down the test (either via extension methods or via setup/tearDown methods + the setup/tearDown from the tests itself)
 ** In addition to being also a JUnit 5 extension and a base test class ... it is ALSO a BreakPoint.
 ** And a utility class that provides helper methods (i.e.: providing utility methods for useful operations - send/receive requests)
 ** And also a test configuration class in itself (i.e.: allowing tests to configure themselves by overriding methods)
 * Over-complexity
 ** the code tries to handle different lifecycle supported by JUnitÂ 
 ** along with concurrency
 ** as well as setting up and managing the CamelContext
 * Mix up assertions with assumptions
 * Little control about the initialization order of the extension (itself ?) via JUnit's Order annotation
 * Three ways to manage JMX: useJMX, enableJMX, disableJMX.

Â 

To make things even worse, the wide open interfaces provided by this [class have leaked to other projects|https://github.com/apache/camel-quarkus/blob/main/test-framework/junit5/src/main/java/org/apache/camel/quarkus/test/CamelQuarkusTestSupport.java] (such as Camel Quarkus).

Â 

The work on this ticket is prevent tests from abusing internal APIs from CamelTestSupport and related classes. As of 4.7.0 they have been marked as deprecated, but need to wait until the next LTS release is out before we can finish this.

Â 

Â 

Â 

Â 

Â",ATD,viomod
123,CAMEL-20837,"camel-test: implement extensions for CamelTestSupport - Over the course of years, multiple additions and changes to the CamelTestSupport class have made it extremely fragile, tightly coupled and hard to maintain.

Among the problems of this class:
 * Mixing up being responsibilities
 ** It is both a JUnit 5 extension and *also* a base test class
 *** Which leads to multiple ways to setup and tear down the test (either via extension methods or via setup/tearDown methods + the setup/tearDown from the tests itself)
 ** In addition to being also a JUnit 5 extension and a base test class ... it is ALSO a BreakPoint.
 ** And a utility class that provides helper methods (i.e.: providing utility methods for useful operations - send/receive requests)
 ** And also a test configuration class in itself (i.e.: allowing tests to configure themselves by overriding methods)
 * Over-complexity
 ** the code tries to handle different lifecycle supported by JUnitÂ 
 ** along with concurrency
 ** as well as setting up and managing the CamelContext
 * Mix up assertions with assumptions
 * Little control about the initialization order of the extension (itself ?) via JUnit's Order annotation
 * Three ways to manage JMX: useJMX, enableJMX, disableJMX.

Â 

To make things even worse, the wide open interfaces provided by this [class have leaked to other projects|https://github.com/apache/camel-quarkus/blob/main/test-framework/junit5/src/main/java/org/apache/camel/quarkus/test/CamelQuarkusTestSupport.java] (such as Camel Quarkus).

Â 

The work on this ticket is related to transforming the ContextLifecycleManagers into full-blown JUnit extensions. As this is a breaking change in a few aspects, this work is planned for 4.9.0 (or whatever is the next release after the next LTS).

Â 

Â 

Â 

Â 

Â",ATD,viomod
124,CAMEL-20785,"camel-test: CamelTestSupport has become inadequatedly designed - Over the course of years, multiple additions and changes to the CamelTestSupport class have made it extremely fragile, tightly coupled and hard to maintain.

Among the problems of this class:
 * Mixing up being responsibilities
 ** It is both a JUnit 5 extension and *also* a base test class
 *** Which leads to multiple ways to setup and tear down the test (either via extension methods or via setup/tearDown methods + the setup/tearDown from the tests itself)
 ** In addition to being also a JUnit 5 extension and a base test class ... it is ALSO a BreakPoint.
 ** And a utility class that provides helper methods (i.e.: providing utility methods for useful operations - send/receive requests)
 ** And also a test configuration class in itself (i.e.: allowing tests to configure themselves by overriding methods)
 * Over-complexity
 ** the code tries to handle different lifecycle supported by JUnitÂ 
 ** along with concurrency
 ** as well as setting up and managing the CamelContext
 * Mix up assertions with assumptions
 * Little control about the initialization order of the extension (itself ?) via JUnit's Order annotation
 * Three ways to manage JMX: useJMX, enableJMX, disableJMX.

Â 

To make things even worse, the wide open interfaces provided by this [class have leaked to other projects|https://github.com/apache/camel-quarkus/blob/main/test-framework/junit5/src/main/java/org/apache/camel/quarkus/test/CamelQuarkusTestSupport.java] (such as Camel Quarkus).

Â 

Â 

Â 

Â",ATD,viomod
125,CAMEL-19998,"camel-core: cleanup cyclic dependencies in the AbstractCamelContext - As part of CAMEL-15105 we decoupled the ExtendedCamelContext from the AbstractCamelContext. This helped us reduce the incidence of type polution problems, cleanup and simplify the code. 

However, there's still many cases of cyclic dependencies between these two types. We should move the handling of the internal APIs fully to the extension class.",ATD,viomod
126,LUCENE-7093,MemoryIndex does not support points - I realized this glancing at LUCENE-7091. I think this should have points support or else people cannot move off of the deprecated LegacyXXX encodings?,ATD,viomod
127,CAMEL-17540,"CamelJms Request Reply QueueReplyManager is coupled with DefaultMessageListenerContainer - We are using CamelJMS to connect with IBM MQ. We are doing request-reply over JMS. It was identified that our camel app is continuously polling the reply queues even when a unit of work was completed. I found that QueueReplyManager is coupled with DefaultMessageListenerContainer.

CamelJMS allows consumerType for JMS consumer to be Simple/Default/Custom. Why was it decided to use DefaultMessageListenerContainer for QueueReplyManager? Can we give a consumerType choice for this pattern too ?",ATD,viomod
128,CAMEL-10646,"support JSONPath on beans as well as Strings & InputStreams - it'd be nice if we could use json path expressions on beans too; so that if some JSON gets unmarshalled via jackson we could still use jsonPath on the object.

Here's a possible implementation approach (though maybe there's a more optimal approach?)
http://stackoverflow.com/a/27754489/2068211

Maybe this code https://github.com/apache/camel/blob/master/components/camel-jsonpath/src/main/java/org/apache/camel/jsonpath/JsonPathEngine.java#L114 should check if the body can't be converted to a File, String or InputStream it tries to convert the payload to something like JSonPathNavigator (a new interface we create). If it can be converted we use that interface to transform the payload.

Then we could have decoupled ways to convert objects into navigable formats (e.g. Maps / Lists)?

e.g. 
{code:java}
public JacksonJsonPathNavigator implements JSonPathNavigator {
 public Object convert(Object input) {
 ObjectMapper mapper = new ObjectMapper();
 return mapper.convertValue(input, Map.class);
 }
}
{code}

This is how we've used saxon in the past with different libraries to perform XPath navigation (e.g. c24 stuff). 

Another approach could just be to try convert the object to a Map and have a Jackson based converter that can convert objects with a Jackon annotation to a Map using the above code?",ATD,viomod
129,LUCENE-7083,"BKDReader exceptions at merge from innocuous? test - As part of LUCENE-7075, I tried to move join/ modules numeric join support away from deprecated encodings. Basically from what i see, its encoding Numeric/SortedNumeric in a byte[] as an impl detail, it might as well use the new 8-bit encoding rather than the 7-bit one. There are certain bugs in what i did, but i don't like the exceptions I see: {noformat} [junit4] Suite: org.apache.lucene.search.join.TestJoinUtil [junit4] 2> NOTE: reproduce with: ant test -Dtestcase=TestJoinUtil -Dtests.method=testRandomOrdinalsJoin -Dtests.seed=49BE0A860DCFFEDB -Dtests.slow=true -Dtests.locale=tr -Dtests.timezone=Asia/Urumqi -Dtests.asserts=true -Dtests.file.encoding=UTF-8 [junit4] ERROR 1.16s J1 | TestJoinUtil.testRandomOrdinalsJoin <<< [junit4] > Throwable #1: org.apache.lucene.store.AlreadyClosedException: refusing to delete any files: this IndexWriter hit an unrecoverable exception [junit4] > at __randomizedtesting.SeedInfo.seed([49BE0A860DCFFEDB:F6630B1FDD33EBD7]:0) [junit4] > at org.apache.lucene.index.IndexFileDeleter.ensureOpen(IndexFileDeleter.java:345) [junit4] > at org.apache.lucene.index.IndexFileDeleter.deleteFiles(IndexFileDeleter.java:696) [junit4] > at org.apache.lucene.index.IndexFileDeleter.decRef(IndexFileDeleter.java:594) [junit4] > at org.apache.lucene.index.IndexFileDeleter.checkpoint(IndexFileDeleter.java:533) [junit4] > at org.apache.lucene.index.IndexWriter.checkpoint(IndexWriter.java:2337) [junit4] > at org.apache.lucene.index.IndexWriter.publishFlushedSegment(IndexWriter.java:2395) [junit4] > at org.apache.lucene.index.DocumentsWriterFlushQueue$FlushTicket.publishFlushedSegment(DocumentsWriterFlushQueue.java:198) [junit4] > at org.apache.lucene.index.DocumentsWriterFlushQueue$FlushTicket.finishFlush(DocumentsWriterFlushQueue.java:213) [junit4] > at org.apache.lucene.index.DocumentsWriterFlushQueue$SegmentFlushTicket.publish(DocumentsWriterFlushQueue.java:249) [junit4] > at org.apache.lucene.index.DocumentsWriterFlushQueue.innerPurge(DocumentsWriterFlushQueue.java:116) [junit4] > at org.apache.lucene.index.DocumentsWriterFlushQueue.forcePurge(DocumentsWriterFlushQueue.java:138) [junit4] > at org.apache.lucene.index.DocumentsWriter.flushAllThreads(DocumentsWriter.java:624) [junit4] > at org.apache.lucene.index.IndexWriter.prepareCommitInternal(IndexWriter.java:2815) [junit4] > at org.apache.lucene.index.IndexWriter.commitInternal(IndexWriter.java:2989) [junit4] > at org.apache.lucene.index.IndexWriter.commit(IndexWriter.java:2956) [junit4] > at org.apache.lucene.index.RandomIndexWriter.commit(RandomIndexWriter.java:288) [junit4] > at org.apache.lucene.search.join.TestJoinUtil.createContext(TestJoinUtil.java:1121) [junit4] > at org.apache.lucene.search.join.TestJoinUtil.testRandomOrdinalsJoin(TestJoinUtil.java:403) [junit4] > at java.lang.Thread.run(Thread.java:745) [junit4] > Caused by: java.lang.IllegalArgumentException: field=""fromInteger"" is unrecognized [junit4] > at org.apache.lucene.codecs.lucene60.Lucene60PointsReader.getBKDReader(Lucene60PointsReader.java:120) [junit4] > at org.apache.lucene.codecs.lucene60.Lucene60PointsReader.getNumDimensions(Lucene60PointsReader.java:199) [junit4] > at org.apache.lucene.codecs.asserting.AssertingPointsFormat$AssertingPointsReader.intersect(AssertingPointsFormat.java:169) [junit4] > at org.apache.lucene.codecs.PointsWriter$1.intersect(PointsWriter.java:59) [junit4] > at org.apache.lucene.codecs.lucene60.Lucene60PointsWriter.writeField(Lucene60PointsWriter.java:93) [junit4] > at org.apache.lucene.codecs.PointsWriter.mergeOneField(PointsWriter.java:44) [junit4] > at org.apache.lucene.codecs.PointsWriter.merge(PointsWriter.java:143) [junit4] > at org.apache.lucene.codecs.lucene60.Lucene60PointsWriter.merge(Lucene60PointsWriter.java:121) [junit4] > at org.apache.lucene.codecs.asserting.AssertingPointsFormat$AssertingPointsWriter.merge(AssertingPointsFormat.java:262) [junit4] > at org.apache.lucene.index.SegmentMerger.mergePoints(SegmentMerger.java:168) [junit4] > at org.apache.lucene.index.SegmentMerger.merge(SegmentMerger.java:117) [junit4] > at org.apache.lucene.index.IndexWriter.mergeMiddle(IndexWriter.java:4099) [junit4] > at org.apache.lucene.index.IndexWriter.merge(IndexWriter.java:3679) [junit4] > at org.apache.lucene.index.ConcurrentMergeScheduler.doMerge(ConcurrentMergeScheduler.java:588) [junit4] > at org.apache.lucene.index.ConcurrentMergeScheduler$MergeThread.run(ConcurrentMergeScheduler.java:626) {noformat} What is happening here? Is the exception correct or are we missing a check?",ATD,viomod
130,LUCENE-7059,"Verify that 1D point values are visited in order - The new PointInSetQuery (LUCENE-7048) hit a tricky test failure (https://builds.apache.org/job/Lucene-Solr-Tests-trunk-Java8/871/) where point values were sometimes not visited in order like it expected. I pushed a hack to fix the query, but I think we should do a better fix, here, making the ""values in order in the 1D case"" part of the API, fixing CheckIndex, AssertingPointFormat to verify this, and removing the buggy MultiPointValues. I also found a possibly serious bug in BKDWriter, where it was doing {{writeInt/writeLong}} to its offline files, but then reading with {{readVInt/readVLong}}! It's hard to provoke, though: it only strikes in the tie-break case (same values across docs), and even then only if the {{IntroSorter}} does a non-stable sort. I made a failing test case and fixed that bug, and also removed the unnecessary ord tie breaking from BKDWriter's comparator. Finally, I saw {{BKDWriter}} was failing to pass on its {{maxMBSortInHeap}} down to {{OfflineSorter}}, and fixed that.",ATD,viomod
131,CAMEL-5916,"CXFRS: Simpler, higher-level binding style injecting headers, attachments and entity - The camel-cxfrs consumer currently dumps the {{MessageContentList}} coming from the CXF stack into the Message body. The route then has to do much lower-level processing than usual, and is tightly coupled with the method signature of the JAX-RS operation.

We should offer a CxfRsBinding that is more user-friendly and makes the request data more accesible to the route. Aim for the following:

- Map JAX-RS parameters (@HeaderParam, @QueryParam, etc.) as Camel IN message headers.
- Set the request entity as the IN message body.
- Inject binary @Multipart attachments as Camel IN message attachments.

Additionally, path parameters along the Subresource locator chain should be mapped as headers too. See http://camel.465427.n5.nabble.com/camel-cxfrs-Handling-of-Subresources-td5724615.html for context.",ATD,viomod
132,CAMEL-5730,"SqsConsumer receive thread is tightly coupled to extendMessageVisiblity's scheduled task - When I made the patch file for CAMEL-5306 I made a mistake and coupled the cancelling of the visibility extending scheduled task with the thread that receives the message inside SqsConsumer. This causes issues when try to write Processors that delegate the completion of an exchange to another thread.

Actually the cancelling of the scheduled task should have been handled via exchange.addOnCompletion(), the same way the the overall SQS transaction is completed.

The attached patch fixes this issue.",ATD,viomod
133,CAMEL-5622,CxfConsumer should avoid using the async invocation with the decouple endpoints transport - As the decouple endpoint transport already switch the thread and we cannot leverage the continuation to provide the async invocation any more. So we need to disable the async invocation in this situation.,ATD,viomod
134,CAMEL-5297,"Create a new Camel component via Scala-Component-Archetype - That would be great to have a choice when creating new components. I
don't think anyone would strongly oppose a component in scala. We already
have a scala DSL after-all. 

It makes sense to create components in Scala if the component
is coupled with Scala in some way. For example the play framework, akka, etc.

But for other components Java should be prefered, as then anybody in the
world, can look at the source, and fix bugs, improve stuff etc.

Also with Scala you force people to add it as dependency etc. And
there is some binary compatible issues with Scala releases (this may
improve for the future etc.) And the scala compiler is really slow,
and the IDE tooling is not so good (yet) etc.",ATD,viomod
135,CAMEL-4516,"Add JMX notification support to our mbean assembler - If you use camel jmx annotations to publish a mbean you can not use jmx Notifications.

The reason is that the mbean assembler does not support the mbean info for this. Additionally the created Required Model MBean is not coupled with the user class. So there is no way to send notifications. 

So I propose to add two Annotations @ManagedNotification and @ManagedNotifications and handle them in the assembler. 

To support sending of Notifications I propose to add two interfaces NotificationSender and NotificationSenderAware that allow the user code to get access to the generated Model MBean to send out the Notification",ATD,viomod
136,LUCENE-7053,"Remove deprecated BytesRef#getUTF8SortedAsUTF16Comparator(); remove natural comparator in favour of Java 8 one - Followup from LUCENE-7052: This removes the legacy, deprecated getUTF8SortedAsUTF16Comparator() in the BytesRef class. I know originally we added the different comparators to be able to allow the index term dict to be sorted in different order. This never proved to be useful, as many Lucene queries rely on the default order. The only codec that used another byte order internally was the Lucene 3 one (but it used the unicode spaghetti algorithm to reorder its term enums at runtime). This patch also removes the BytesRef-Comparator completely and just implements compareTo. So all code can rely on natural ordering. This patch also cleans up other usages of natural order comparators, e.g. in ArrayUtil, because Java 8 natively provides a comparator.",ATD,viomod
137,LUCENE-7028,"Remove useless clone of method in Lucene 6' LegacyNumericUtils - While working on LUCENE-7027 I noticed, that NumericUtils contains the same method 2 times (same signature), one just delegating to the other. I will remove the duplicate for 6.0.",ATD,viomod
